Loading level lists...
Finished loading level lists
Loading user files...
Finished loading user files
Creating lexical profile...
Finished creating lexical profile

File name: C:/Users/user/Desktop/Big Data Analysis/Project/SpongeBob/speaker/SpongeBob.txt
Number of lines: 13348
Number of types: 8779
Number of tokens: 156266

Level list 1: 1_gsl_1st_1000.txt
Number of types: 4114
Number of groups (families): 998

Level list 2: 2_gsl_2nd_1000.txt
Number of types: 3708
Number of groups (families): 988

Level list 3: 3_awl_570.txt
Number of types: 3082
Number of groups (families): 569

Statistics
LEVEL	FILE	TOKEN	TOKEN%	CUMTOKEN%	TYPE	TYPE%	CUMTYPE%	GROUP	GROUP%	CUMGROUP%
1	1_gsl_1st_1000.txt	120621	77.19	77.19	2152	24.51	24.51	925	13.61	13.61
2	2_gsl_2nd_1000.txt	9975	6.38	83.57	1388	15.81	40.32	772	11.36	24.97
3	3_awl_570.txt	1142	0.73	84.3	425	4.84	45.16	286	4.21	29.18
0	-	24528	15.70	100	4814	54.84	100	4814	70.83	100.01
TOTAL:	156266			8779			6797

Table of ranges: Types
Types	No. of Files
8779	1
Table of ranges: Groups
Groups	No. of Files
1983	1

Groups Found In Base List 1
File name: 1_gsl_1st_1000.txt

Group	Range	Freq	uf_1
actor	1	3	3
affair	1	3	3
army	1	3	3
coast	1	3	3
command	1	3	3
demand	1	3	3
department	1	3	3
depend	1	3	3
difficult	1	3	3
due	1	3	3
equal	1	3	3
example	1	3	3
express	1	3	3
extend	1	3	3
furnish	1	3	3
hardly	1	3	3
indeed	1	3	3
industry	1	3	3
j	1	3	3
january	1	3	3
justice	1	3	3
l	1	3	3
laughter	1	3	3
limit	1	3	3
modern	1	3	3
necessary	1	3	3
organize	1	3	3
ought	1	3	3
prevent	1	3	3
rate	1	3	3
receipt	1	3	3
receive	1	3	3
refuse	1	3	3
relative	1	3	3
rough	1	3	3
separate	1	3	3
society	1	3	3
struggle	1	3	3
suggest	1	3	3
support	1	3	3
tax	1	3	3
therefore	1	3	3
within	1	3	3
woman	1	3	3
advance	1	2	2
age	1	2	2
among	1	2	2
attempt	1	2	2
average	1	2	2
battle	1	2	2
branch	1	2	2
character	1	2	2
chief	1	2	2
claim	1	2	2
coin	1	2	2
college	1	2	2
court	1	2	2
daughter	1	2	2
declare	1	2	2
describe	1	2	2
divide	1	2	2
earth	1	2	2
effect	1	2	2
expense	1	2	2
factory	1	2	2
familiar	1	2	2
farm	1	2	2
forest	1	2	2
gain	1	2	2
heat	1	2	2
heaven	1	2	2
increase	1	2	2
lack	1	2	2
lake	1	2	2
lord	1	2	2
loss	1	2	2
mass	1	2	2
miner	1	2	2
object	1	2	2
often	1	2	2
opportunity	1	2	2
owe	1	2	2
plain	1	2	2
popular	1	2	2
pound	1	2	2
pressure	1	2	2
profit	1	2	2
propose	1	2	2
provide	1	2	2
recent	1	2	2
reduce	1	2	2
remark	1	2	2
rise	1	2	2
river	1	2	2
shadow	1	2	2
silence	1	2	2
silver	1	2	2
social	1	2	2
south	1	2	2
stock	1	2	2
stream	1	2	2
subject	1	2	2
substance	1	2	2
surround	1	2	2
thursday	1	2	2
vote	1	2	2
youth	1	2	2
adopt	1	1	1
advantage	1	1	1
agent	1	1	1
amount	1	1	1
below	1	1	1
beneath	1	1	1
bird	1	1	1
bridge	1	1	1
broad	1	1	1
content	1	1	1
country	1	1	1
distance	1	1	1
distinguish	1	1	1
efficient	1	1	1
effort	1	1	1
english	1	1	1
event	1	1	1
exchange	1	1	1
experiment	1	1	1
faith	1	1	1
foreign	1	1	1
god	1	1	1
group	1	1	1
husband	1	1	1
influence	1	1	1
july	1	1	1
june	1	1	1
length	1	1	1
likely	1	1	1
motor	1	1	1
native	1	1	1
nor	1	1	1
north	1	1	1
occasion	1	1	1
opinion	1	1	1
population	1	1	1
produce	1	1	1
proof	1	1	1
provision	1	1	1
quantity	1	1	1
rank	1	1	1
reply	1	1	1
sale	1	1	1
saturday	1	1	1
several	1	1	1
snow	1	1	1
stone	1	1	1
study	1	1	1
thirteen	1	1	1
toward	1	1	1
unite	1	1	1
variety	1	1	1
vessel	1	1	1
wage	1	1	1

Groups Found In Base List 2
File name: 2_gsl_2nd_1000.txt

Group	Range	Freq	uf_1
hullo	1	960	960
sand	1	510	510
thank	1	290	290
sorry	1	281	281
guess	1	211	211
fun	1	168	168
worry	1	151	151
bottom	1	118	118
nice	1	112	112
clean	1	79	79
excuse	1	73	73
cook	1	71	71
check	1	69	69
pearl	1	69	69
baby	1	66	66
fry	1	66	66
perfect	1	63	63
stuff	1	62	62
customer	1	60	60
grand	1	58	58
hurt	1	58	58
steal	1	53	53
lot	1	52	52
dirt	1	48	48
tomorrow	1	48	48
ice	1	47	47
inside	1	47	47
stick	1	47	47
hunger	1	46	46
pet	1	44	44
luck	1	43	43
foot	1	41	41
hat	1	41	41
bit	1	40	40
extra	1	40	40
shell	1	40	40
shoe	1	40	40
cool	1	39	39
hit	1	39	39
cream	1	38	38
hide	1	38	38
card	1	37	37
exact	1	36	36
hurry	1	36	36
smell	1	36	36
toy	1	35	35
worse	1	35	35
key	1	34	34
tie	1	34	34
brain	1	33	33
net	1	33	33
tonight	1	33	33
fool	1	32	32
hate	1	32	32
taste	1	32	32
bus	1	31	31
christmas	1	31	31
tooth	1	31	31
warm	1	31	31
cheese	1	30	30
dance	1	30	30
evil	1	30	30
freeze	1	30	30
treat	1	30	30
nose	1	29	29
quick	1	29	29
ruin	1	28	28
sad	1	28	28
worm	1	28	28
fancy	1	27	27
terrible	1	27	27
wake	1	27	27
tough	1	26	26
ugly	1	26	26
excite	1	25	25
jump	1	25	25
grease	1	24	24
pardon	1	24	24
remind	1	24	24
tire	1	24	24
bath	1	23	23
cat	1	23	23
ray	1	23	23
birth	1	22	22
creature	1	22	22
crime	1	22	22
deliver	1	22	22
kick	1	22	22
kitchen	1	22	22
probable	1	22	22
anger	1	21	21
cake	1	21	21
double	1	21	21
handle	1	21	21
lesson	1	21	21
mad	1	21	21
parent	1	21	21
sauce	1	21	21
stupid	1	21	21
treasure	1	21	21
invent	1	20	20
joke	1	20	20
lock	1	20	20
pain	1	20	20
pen	1	20	20
pencil	1	20	20
penny	1	20	20
restaurant	1	20	20
sick	1	20	20
soap	1	20	20
wash	1	20	20
afraid	1	19	19
bite	1	19	19
cheer	1	19	19
deserve	1	19	19
dig	1	19	19
dinner	1	19	19
fan	1	19	19
hair	1	19	19
hall	1	19	19
hut	1	19	19
self	1	19	19
shop	1	19	19
sock	1	19	19
telephone	1	19	19
trip	1	19	19
alive	1	18	18
bag	1	18	18
clock	1	18	18
empty	1	18	18
mystery	1	18	18
thumb	1	18	18
trick	1	18	18
warn	1	18	18
club	1	17	17
hole	1	17	17
imagine	1	17	17
knock	1	17	17
leg	1	17	17
neat	1	17	17
plenty	1	17	17
quiet	1	17	17
attention	1	16	16
busy	1	16	16
list	1	16	16
loyal	1	16	16
pick	1	16	16
proud	1	16	16
rope	1	16	16
ahead	1	15	15
beat	1	15	15
bowl	1	15	15
cloth	1	15	15
comfort	1	15	15
fault	1	15	15
guard	1	15	15
guest	1	15	15
hook	1	15	15
opposite	1	15	15
practise	1	15	15
push	1	15	15
rust	1	15	15
sink	1	15	15
ticket	1	15	15
band	1	14	14
cousin	1	14	14
invite	1	14	14
sharp	1	14	14
straight	1	14	14
belt	1	13	13
borrow	1	13	13
breathe	1	13	13
bucket	1	13	13
cap	1	13	13
collect	1	13	13
entire	1	13	13
extreme	1	13	13
juice	1	13	13
